,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,P.value,Correlation,RMSE,group
ec132,0.002782959,0.009651644,0.234061795,0.074414628,0,0.045637672,0,0.116760958,0.010351542,0.034668729,0,0.11137442,0.067115169,0.089947315,0.112205083,0.047500626,0.00971888,0.005481068,0.028327513,0,0,0,0,0.438164983,0.897805538,High
ec135,0.06160188,0,0.280500908,0.141014247,0,0.004550004,0,0.181194805,0.036790804,0,0,0.094539317,0.047599924,0.023004484,0.063204215,0,0.012397856,0.010078068,0,0.043523488,0,0,0.23,0.095982547,1.046284837,High
ec148,0.101926922,0,0.092937757,0.178477489,0,0.084967362,0,0,0.126410343,0,0,0.062215939,0,0.146460213,0.009681978,0.125327978,0.009329494,0,0.062264526,0,0,0,0.317,0.078627551,1.06816185,High
ec136,0.032625992,0,0.015757596,0.069958818,0,0.249395238,0.026216102,0.00574424,0,0,0,0.071031411,0.041087245,0.089569586,0.12065504,0.021459716,0,0.007140843,0,0.249358174,0,0,0.01,0.246621263,0.998340293,High
ec146,0,0.013269117,0.002549116,0.096336137,0.089731231,0.016916359,0,0.037642993,0,0,0,0.064109189,0.24077414,0.180602193,0.118113647,0,0.06647846,0,0.073477419,0,0,0,0.096,0.150005705,1.040102448,High
ec205,0.123926823,0,0.15102253,0.002882235,0,0.227066173,0,0.06122515,0.004715981,0,0,0.080283204,0,0.034031039,0.132646326,0,0.035228309,0,0,0.050777619,0.074831386,0.021363225,0.001,0.352633774,0.939772622,High
ec207,0,0,0.04523646,0,0,0.321808009,0,0,0,0,0,0.051595594,0.056111262,0,0.108793266,0,0.118149137,0.014290609,0,0.284015663,0,0,0.007,0.256776106,0.984704961,High
ec208,0,0,0.034243841,0.041923703,0,0.25302768,0,0.014538615,0.059370511,0,0,0.085168556,0.154506319,0.003700918,0.030004413,0.037603504,0.175722983,0.058621195,0.025946617,0.005099475,0.020521671,0,0.069,0.166997121,1.02218155,High
ec210,0,0,0.057240928,0.056680803,0,0.256066099,0,0.013743254,0.013764734,0,0,0.10481216,0.133113778,0,0.052615586,0.027518094,0.008385914,0.073968697,0,0.201648475,0,0.000441479,0.031,0.202617501,1.009415816,High
ec211,0.075633166,0,0.051098132,0.233201046,0,0.031483808,0,0.011206373,0.130939493,0,0,0.004883713,0.12186055,0.059764073,0.042729441,0,0.01257608,0,0,0.212007117,0.012617009,0,0.201,0.107475049,1.043739986,High
ec212,0.046683341,0,0.021407594,0.182919701,0,0.089807911,0.004713344,0,0.051315487,0.01470692,0,0.128207036,0.092532794,0.056754005,0.15445071,0.060520037,0.017437119,0,0.008982774,0.02932992,0.040231307,0,0,0.439245886,0.902540141,High
ec214,0.036695109,0,0.008619974,0.273765126,0,0,0,0.0088487,0.111948687,0.007606561,0,0.092748739,0.065215618,0.032993268,0.062874732,0.132531807,0.039199979,0,0.123289619,0,0.003662081,0,0,0.382292988,0.927076739,High
ec215,0,0,0.070053435,0.135026355,0,0.146166239,0,0.011735467,0.077419969,0,0,0.108457914,0.101006198,0.086399936,0.074350539,0.017144838,0.097646019,0.018038883,0,0.015798554,0.040755655,0,0.033,0.200916958,1.013605128,High
ec218,0,0,0.026313608,0.031598949,0,0.430014187,0,0,0,0,0,0.113041517,0.02695984,0,0.114162107,0.05477947,0.135586497,0.030838323,0,0.035299359,0,0.001406144,0,0.38101451,0.935727067,High
