ID,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
ec361,-0.219884301,0.183523109,0.153934578,0.21767948,0.173552078,0.294703525,0.58760999,0.188352501,0.141709644,0.260329877,0.047396904,0.276155695,-0.084218064,0.345592447,0.125271394,0.216743375,0.414937451,0.128266452,0.121699168,0.330578956,0.114412861,-0.105307159,0.408603441,0.286672989,0.088642467,0.227479985,-0.175795915,0.146908113
ec362,-0.308669326,0.163085414,-0.00061951,0.142306487,0.179339978,0.284019762,0.452446433,0.130524363,0.093353393,0.172377883,-0.19703961,0.186909794,-0.164065908,0.343281863,-0.00398955,0.06545772,0.193037822,-0.059165006,0.065752314,0.231453418,0.028302965,-0.27399387,0.372517527,0.013184516,-0.073048731,0.084514738,-0.199442102,0.099395437
ec365,-0.155704974,0.292450802,0.343885551,0.356467069,0.171296955,0.362906434,0.540570677,0.195864211,0.098779162,0.341396508,0.025787468,0.268106046,0.022307325,0.322476311,0.088819965,0.224862459,0.441968422,0.118567857,0.113641995,0.374611429,0.101354444,-0.16798611,0.403708738,0.264577109,0.0713296,0.224077292,-0.20509285,0.089853072
ec366,-0.199369021,0.232599195,0.1437026,0.23928813,0.16443022,0.312125649,0.438345666,0.106149957,0.053505348,0.26110838,-0.110523356,0.212153688,-0.10126762,0.195273022,-0.023043017,0.167361251,0.28589681,0.048490303,0.082332325,0.249852498,0.066745314,-0.257585852,0.314755205,0.01007339,-0.025959303,0.13424971,-0.25430292,0.039957223
ec367,-0.245128866,0.217067491,0.088741533,0.234784927,0.215280525,0.299907216,0.541818544,0.230901456,0.051592949,0.223900208,-0.004789642,0.277604425,-0.104746183,0.286671486,0.037356665,0.173483027,0.328354266,0.015489471,0.056729647,0.345435091,0.079304519,-0.11404399,0.391005139,0.136500676,-0.039760136,0.141575227,-0.246242926,0.109154405
ec370,-0.215251913,0.189953926,0.15679837,0.239477416,0.1680302,0.307271235,0.555674716,0.185028077,0.108945815,0.264294007,-0.017149156,0.318215029,-0.048011443,0.338168799,0.05065396,0.157376343,0.407557718,0.046392502,0.109198481,0.327638693,0.066238707,-0.041312186,0.426225868,0.223931348,0.095537748,0.189144567,-0.155007308,0.024450832
ec371,-0.327418935,0.168989262,0.013386386,0.182658677,0.157403623,0.288553494,0.616866957,0.124549931,0.161860381,0.151835555,-0.111166895,0.290103726,-0.184396066,0.289487114,0.108389995,0.11241284,0.333417575,0.111495944,0.105144223,0.269786372,0.076127418,0.040226146,0.464573626,0.248081934,0.026652812,0.164972716,-0.17758521,0.083404951
ec373,-0.23876524,0.225051177,0.171350564,0.214641601,0.161486404,0.262545523,0.588286602,0.190106613,0.111808853,0.276713959,-0.065426845,0.299434848,-0.153780105,0.314238172,0.00124199,0.093767924,0.334580317,0.063555729,0.069867314,0.24513248,0.083175555,0.053926504,0.396922272,0.141051325,0.045340712,0.146396677,-0.142664731,0.093572022
ec374,-0.267334,0.153058699,0.166548476,0.194540657,0.156929159,0.331604409,0.529174736,0.174555652,-0.003494756,0.203705115,-0.103046418,0.203732154,-0.028120123,0.293571111,-0.014299219,0.163591022,0.251659645,0.060657062,0.108149428,0.264755517,0.06018629,-0.237305652,0.379443452,0.049706261,-0.010418738,0.138386242,-0.213905365,0.089203957
ec375,-0.198599739,0.125113086,0.027308439,0.228100377,0.192407529,0.287802002,0.464197751,0.088877675,0.017741866,0.195081798,-0.110302879,0.193968035,-0.122978942,0.249824915,-0.010364018,0.201592214,0.227598166,-0.004622117,0.040421308,0.297528364,0.062649299,-0.355288778,0.412496202,0.059809105,-0.047239443,0.116445467,-0.233760984,0.062470122
ec406,-0.285172551,0.114240149,-0.017663705,0.188535044,0.16299885,0.289250911,0.558393961,0.167794802,0.069720099,0.174794579,-0.128833115,0.277300182,-0.179246051,0.315923357,-0.011780326,0.097656918,0.277132541,0.012662626,0.111983333,0.274658047,0.050150181,0.031755108,0.398819732,0.0298609,-0.022535199,0.120413917,-0.20930381,0.013549892
ec407,-0.210329834,0.295829878,0.277110006,0.234856725,0.15123613,0.271253297,0.550911743,0.141091194,0.065424382,0.28015806,-0.116325254,0.298029532,-0.11056174,0.310708372,0.03610556,0.091119543,0.362215374,-0.016003714,0.098823255,0.31515221,0.048348932,-0.061154971,0.383513382,0.102912874,0.028269081,0.153742024,-0.172801816,0.091277111
ec408,-0.206643714,0.23796057,0.109957725,0.264000953,0.163443758,0.31699922,0.535538411,0.169692723,0.113980735,0.218251261,-0.079861382,0.275496737,-0.10538356,0.290250756,0.023220925,0.097622175,0.32638316,0.005567596,0.079203026,0.26472104,0.067961076,-0.132798668,0.397727404,0.133861031,0.001335835,0.151913776,-0.252354864,0.118119352
ec409,-0.213032089,0.211167334,0.054358002,0.177012031,0.13094472,0.267507779,0.502607017,0.076447401,0.000692075,0.186233335,-0.096244051,0.20734266,-0.171640241,0.304164456,0.001817648,0.155452161,0.234396042,0.099745508,0.080551613,0.217816462,0.048787733,-0.298984163,0.406893677,0.016641979,-0.067919113,0.125817941,-0.137205117,0.008265822
ec376,-0.149065012,0.220420093,0.179073328,0.310291377,0.192105302,0.333570643,0.543123609,0.226182645,0.063585726,0.278558372,-0.115160852,0.271258775,-0.041976816,0.282767314,0.051883264,0.143223169,0.374973596,0.020935661,0.097812955,0.335874443,0.080511652,-0.168899741,0.364244338,0.206276554,0.055423867,0.150205432,-0.226688288,0.084729666
ec378,-0.211263947,0.283041856,0.10038522,0.277388899,0.150162623,0.263840388,0.575058206,0.180085406,0.140903922,0.242919204,0.026212474,0.298003295,-0.128903591,0.319065459,-0.0049449,0.111050339,0.303439859,-0.003339422,0.087602381,0.261318619,0.061170408,0.115808728,0.39402373,0.135920561,0.076389129,0.141593627,-0.162942801,0.117571993
ec380,0.185600907,0.357669941,0.337770333,0.250753188,0.173961683,0.316790584,0.56268994,0.158332211,0.108095128,0.310446705,-0.0119275,0.258657752,0.186712983,0.306690766,0.072440791,0.239773569,0.436580256,0.075155694,0.115154395,0.32308845,0.114720992,-0.057002506,0.389264587,0.165935589,0.084673579,0.229541499,-0.168041447,0.104100948
ec381,-0.191653835,0.240881484,0.172117586,0.237405032,0.171944817,0.296294202,0.532356375,0.203249674,0.068539114,0.268212582,-0.101128209,0.232831892,-0.034454093,0.325740235,0.03942809,0.206825137,0.367774147,-0.018622569,0.069841136,0.361820298,0.080262701,-0.301637647,0.397261879,0.141210192,-0.008375507,0.175160667,-0.120769383,0.112829308
ec382,-0.155363532,0.18290924,0.104687107,0.221325915,0.180401013,0.342036811,0.580109425,0.232572231,0.049547133,0.281600423,-0.10423025,0.288711736,-0.087242353,0.293787462,0.068880393,0.11280222,0.389485556,0.054996438,0.077329236,0.32743071,0.059312218,-0.03412226,0.40427215,0.248807434,0.087976761,0.159971995,-0.181558522,0.081222183
ec385,-0.308225485,0.224320198,0.13280605,0.250222866,0.147992838,0.311060463,0.543620192,0.148445305,0.056981368,0.258827257,-0.115555107,0.285598514,-0.124479479,0.294385501,0.038274033,0.082394786,0.287478572,0.04482773,0.074107101,0.272567505,0.043052486,0.008386817,0.370143342,0.118633573,0.028477174,0.159386278,-0.114576827,0.066883113
ec391,-0.136114809,0.228583124,0.212028661,0.266280692,0.16697227,0.34229933,0.575536278,0.200018436,0.112562321,0.274371689,0.024768974,0.257222098,-0.035201528,0.336988666,0.110428004,0.186352576,0.400788207,0.065243418,0.108400824,0.32887167,0.111304026,-0.093019534,0.425809203,0.23576722,0.060664221,0.203652059,-0.201111487,0.121232058
ec392,-0.244449444,0.169760871,0.004122332,0.187161716,0.200026887,0.266535798,0.569932194,0.153914906,0.114597008,0.195522801,-0.027809908,0.273952475,-0.132569634,0.28797665,-0.020568692,0.038667992,0.263745529,0.020918822,0.067857833,0.254947121,0.040285977,0.05873502,0.395559842,0.112705665,0.014101164,0.125689239,-0.183842842,0.055360333
ec393,-0.31938403,0.093350784,-0.015715107,0.21489482,0.169137526,0.280881521,0.558204393,0.16835779,0.028745671,0.154255454,-0.175881047,0.2531966,-0.193983759,0.331236669,-0.006958622,0.056250922,0.293868213,0.041650761,0.076822946,0.179727763,0.056032691,-0.141467127,0.368188855,0.119662375,-0.033323613,0.112429246,-0.162020878,-0.022337336
