,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
PPP1R14A,5536.21895182463,-1.10314741816283,0.102284869134093,-10.7850499052468,4.05023432333123e-27,2.43108426462393e-26,down
CNGA1,383.684533271268,-1.3087828951488,0.121452303380345,-10.7761059998192,4.46384784381766e-27,2.67187844220331e-26,down
ASB5,232.918777913299,-1.9731973347993,0.183220727931213,-10.7695093075937,4.79550133918004e-27,2.8650673817244e-26,down
MUC15,3427.29772560616,-1.60931963388065,0.149462680947014,-10.7673676377528,4.90834241079426e-27,2.93112464503667e-26,down
KLK11,11453.4399254793,-1.42537187482093,0.13243247350387,-10.7630087780493,5.14619926036626e-27,3.07174201449388e-26,down
SPINK8,838.439142977875,-2.01475216338219,0.187510964235489,-10.7447165641574,6.27543722843824e-27,3.73712006192848e-26,down
CAPN9,144.051493964036,-1.52651600647752,0.142499180916455,-10.7124546026163,8.89709985741379e-27,5.27883663119977e-26,down
TPM2,25187.6499441851,-1.04455007471551,0.0976657281862328,-10.6951547294432,1.07240513477781e-26,6.33363160984544e-26,down
RNF208,2346.52498484004,-1.10274271910978,0.103107255422813,-10.6951030224571,1.0730034532309e-26,6.33426099040662e-26,down
LRRTM1,153.750808676797,-1.28552925920555,0.120275504073731,-10.6882051262699,1.1558614898264e-26,6.81091118502006e-26,down
PCDHB8,2319.7155153926,-1.19581686943436,0.111910785255065,-10.685447937023,1.19072839269327e-26,7.01315611626979e-26,down
STUM,220.411278051753,-1.16344602085554,0.1091815340831,-10.6560695508274,1.63356001680541e-26,9.57755419957692e-26,down
LGI4,1107.36378614195,-1.10935532878745,0.104118057658212,-10.654783173435,1.65630178836038e-26,9.70647103542767e-26,down
CNGA3,101.826375544174,-1.62119421278142,0.152170215160099,-10.6538208615645,1.67351940314888e-26,9.79845610543671e-26,down
MAL2,24347.9607611878,-1.01536402963401,0.0953540411926753,-10.6483586530154,1.77466464720236e-26,1.03812240329762e-25,down
A4GNT,66.5052705210173,-1.50488468428611,0.141340785964825,-10.6472075559325,1.79674084978619e-26,1.05008252659237e-25,down
PCSK2,95.448260835965,-1.82620182202647,0.17160661819031,-10.6417913323205,1.90432495840748e-26,1.11094247233908e-25,down
GAB1,848.456816637299,-1.06178522916947,0.0999430991418107,-10.6238973804773,2.30722512775895e-26,1.34355184767916e-25,down
SULT2A1,45.9854259538623,-1.54297073719575,0.14524120906146,-10.6235051826292,2.31694253142566e-26,1.34860084714387e-25,down
PRSS3,14716.086903885,-1.63070899807439,0.153586289690717,-10.6175427595667,2.46976836052625e-26,1.4343140780856e-25,down
ELF3,14111.7061290109,-1.22254219118168,0.115149512708309,-10.6169983912877,2.48420942620281e-26,1.44205054614324e-25,down
LDLRAD1,199.286227582761,-1.56805966913317,0.14770342554325,-10.6162715141229,2.50362269687792e-26,1.45266504317497e-25,down
REG3G,20.5806543350004,-1.64272507464197,0.154738962727555,-10.616104991826,2.50809126764946e-26,1.45460259426352e-25,down
GJC1,3124.06173071394,-1.19993916882251,0.113301973523756,-10.5906290199871,3.29371059324069e-26,1.9008192720221e-25,down
KRT222,132.730858880888,-1.40908410467925,0.133060409311579,-10.5898073812451,3.32274869891894e-26,1.91671858445029e-25,down
C3orf20,7171.50983271556,-1.26502220937992,0.119536553494027,-10.5827227940207,3.58389236258376e-26,2.06273983567656e-25,down
ADGRG6,1658.94223559339,-1.00715298509571,0.0952909312367108,-10.5692427602986,4.13822446070577e-26,2.3764810199889e-25,down
TNXB,835.73095278949,-1.08671917321546,0.102869995036898,-10.5640053042257,4.37582995528293e-26,2.50957549661618e-25,down
