,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
FAM3D,1709.46533470744,-1.1022482131411,0.194181160949486,-5.6763910965999,1.37566064944449e-08,3.99207845238796e-07,down
RDH12,1753.93696043611,-1.28997562939618,0.227527949723259,-5.66952601192588,1.43193110438017e-08,4.13757565792419e-07,down
HHLA2,35.5825545705592,-1.06962214147816,0.190191526074885,-5.62392112599701,1.86670907827137e-08,5.28079083903434e-07,down
ATP4A,89.2870104544854,-1.0022353618359,0.179234329312448,-5.59176004775718,2.24779320137409e-08,6.22594081881314e-07,down
GCNT3,782.472829651759,-1.43111305796579,0.25616544693105,-5.58667484280577,2.31458507905516e-08,6.34817297901836e-07,down
CYP2C9,151.551081174868,-1.3533050895567,0.24255055218286,-5.5794764323457,2.41243628078058e-08,6.51068303457064e-07,down
PNPLA1,405.540948777267,-1.36654879367371,0.244883758174498,-5.58039783389774,2.39969073435679e-08,6.51068303457064e-07,down
HLA-G,343.199290347893,-1.03581156117434,0.185913461738646,-5.57147154104671,2.52596631221293e-08,6.78991821055802e-07,down
UGT2B15,245.522300947289,-1.40442233800001,0.252738016548483,-5.55683057570646,2.74717176202574e-08,7.2261863073636e-07,down
ASPRV1,4119.91051271928,-1.57309366501287,0.283699411186019,-5.54493101849056,2.94070081669021e-08,7.64582212339455e-07,down
KRT37,129.079241050195,-1.64521445477111,0.297180918166268,-5.53607029994651,3.09333446924534e-08,8.01179564836787e-07,down
