,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TAS2R14,6934.49181957415,-0.795802966949769,0.224541806656576,-3.54411937268726,0.000393926844284491,0.00328532066549748
PDE4D,2975.70188764948,-0.0747407596190295,0.103003267569878,-0.725615423494451,0.468074563239089,0.653918434242496
MANBA,4442.25366364315,-0.124577503795334,0.102435522674043,-1.21615529987334,0.223925768014747,0.41138928707842
EEF1D,22322.0076780684,0.112111578491566,0.0883261647598753,1.26929068862385,0.204337406123249,0.388410897059745
ACTL6B,624.793369134865,-0.0313187078187603,0.117403196461342,-0.266761968691991,0.789652437990812,0.88553071205804
TRAF7,2781.28173942538,-0.0542772163207043,0.180913027562884,-0.300018285315788,0.764163208067064,0.869856578261215
RAB27A,2084.57382441438,-0.010762048741259,0.15136668458241,-0.0710991904919453,0.943318812435909,0.970148388392938
ABHD8,3678.29068560772,0.165973616235959,0.13010302746257,1.27570910126368,0.202058370106805,0.385480354088756
MED27,4541.60967893156,0.0576220645826403,0.0932414831986807,0.617987430121185,0.536583624504888,0.711752622537006
USP2,934.640585267537,-1.59647593830288,0.199733956030016,-7.99301215494356,1.31681140560477e-15,1.75931218883472e-13
SAMD15,239.294982723305,0.401670254203472,0.193528489410337,2.07550968556269,0.0379393221460944,0.118370685095814
ANKS1A,6664.60193871376,-0.0377919605637999,0.0864279713792495,-0.437265389441657,0.661918892629247,0.803271622222733
ACO2,18042.6258707394,0.0342711353677213,0.0661508182232384,0.518075759124656,0.604405412554525,0.763799085691212
UQCRFS1,8997.16594535776,0.0241199090249624,0.0980594067611514,0.245972414290783,0.805703586775424,0.895196722926931
NDUFS7,23638.2031394164,-0.0225782052327003,0.106180280264464,-0.212640286656472,0.831607545766785,0.909893150294089
GTSF1L,61.9120801754817,-0.0899026008076717,0.132553785862318,-0.678234878187882,0.497622781436728,0.679029407696147
PMF1,6171.19051813913,0.195390297599996,0.091725945667395,2.13015299191895,0.0331589845559179,0.106993624485307
BNIP3L,14255.491047383,0.0148867183776692,0.0966713962601938,0.153993000552109,0.877615254506571,0.934396421359607
ALDH2,12536.0495286306,0.247993789265692,0.118956746662218,2.08473916969065,0.0370929830742453,0.11650706413437
FAIM2,525.945435414337,0.327898773217102,0.121441358921638,2.70005849842873,0.00693272848573683,0.032752094017771
NPSR1,453.428983383029,0.094081339945264,0.168116237929723,0.559620778479425,0.575738128964345,0.742380345173901
CHIC1,2283.361322536,-0.16354049844423,0.107771725092339,-1.51747128761378,0.129147737365409,0.284897755110157
DAPK2,1147.95544384745,-0.175638038460891,0.134460208118001,-1.30624547529149,0.191469092633469,0.373256852932105
TBX15,1377.74168708796,0.370523457907094,0.2018212680464,1.83589896889315,0.0663726002336537,0.178935190777724
ESCO1,3005.30097295349,-0.0492471437402096,0.0703490728440477,-0.700039698453203,0.483902512794298,0.667461975635926
C19orf71,563.391744432631,0.0885551413614711,0.0889476919877751,0.995586724989357,0.319450987414168,0.517736202758441
SELENOF,29162.4798920653,0.0581762206483577,0.058578301188105,0.993136015698781,0.320643674558765,0.518605153264637
BPIFB4,274.624408597886,-0.227844631189152,0.0781531318069786,-2.91536149506944,0.00355276763155293,0.0193232754615781
FBXO40,21.3606136980079,0.340743948828881,0.133832933597598,2.54603960078625,0.0108952827499632,0.0463203986855714
SIN3A,11997.4646963683,0.125586224478141,0.0591920467641117,2.12167396371035,0.0338651264898539,0.108571161048726
ATP2B4,8305.84620978749,-0.169551397680199,0.161993725175115,-1.04665410649032,0.295259137574126,0.492366139696646
CALHM1,26.3406044175973,-0.221322804711339,0.164331732144836,-1.34680503772864,0.178043031830055,0.354771510855694
MAP1LC3B2,13502.5090551642,-0.100907355468496,0.0600115657332218,-1.6814651348554,0.09267260308552,0.227053200530069
NEGR1,247.884223253933,-0.114374389409825,0.133929995408809,-0.853986361014256,0.393112546494377,0.58712348670671
NCF4,4139.77688479239,-0.152558459431378,0.0900099628178082,-1.6949063709778,0.0900931837511017,0.222455154901622
ELOA,3334.86956723936,0.00796409617071205,0.0826759931120613,0.0963290052036907,0.923259275377371,0.95999260088267
HIST1H2BB,40177.0670788761,0.111153120803952,0.0656440903592973,1.69326926758471,0.0904042250887824,0.223100697393568
C9orf106,511.99034181148,-0.0900616935623149,0.0803557377897862,-1.12078733939224,0.262378394543718,0.45613682761826
HPGDS,949.324474742472,-0.120005463561311,0.16553531129126,-0.724953864074119,0.468480334473045,0.654417560391229
MYL6,44214.8580961046,-0.0363440569147815,0.062980556510661,-0.577067890923279,0.563893593979759,0.734051722666686
AQP3,19543.49750178,-1.48278758766628,0.170691895903236,-8.68692435466807,3.72383911320778e-18,7.73068999901936e-16
AKAP3,183.468531972127,0.263976092769698,0.136337230317782,1.93619961440032,0.0528432576976999,0.151555136954891
SLC23A2,878.833277441302,0.23625238645952,0.109780164944025,2.15204984051519,0.0313934291096532,0.103021141149236
SDS,1999.05528612987,-0.429351329608598,0.174924670726068,-2.45449271292876,0.0141083523945749,0.0562161570592264
ANKLE2,1871.40513297624,0.0512946127642717,0.104642383651022,0.490189643761721,0.623999708452763,0.777474530565443
SP1,9971.96438625395,-0.165718185924475,0.0885783928292257,-1.87086467287763,0.0613638406952713,0.168952551134542
LIPC,191.846586404858,0.235538015580804,0.211307212763672,1.11467096887144,0.264991445986054,0.459290283359238
CINP,4989.36473679647,-0.123522767823496,0.0902809658602488,-1.36820388048023,0.171248267306384,0.345724733547628
TTC19,11132.6672707093,0.332248804979095,0.0857179181500416,3.87607179630195,0.000106156372555902,0.00111389898232452
DPP8,14197.7598499688,0.0313972670928349,0.071381315608077,0.439852737727941,0.66004376838749,0.801749087282455
ZNF735,9625.42836787514,0.274145692502237,0.130010843127179,2.10863714062727,0.0349759144538773,0.111286250799486
BDNF,786.586406677685,0.13228325198109,0.185067993797285,0.714781898624715,0.474743821968441,0.65984195357913
SCARB2,15778.1660048019,0.162295369530226,0.0651341367519346,2.491709841006,0.012712984637824,0.0521812064341124
SCN2A,386.871599577003,0.299678992682173,0.245213368348559,1.2221152325439,0.221664053518004,0.408848378645701
RHOV,7433.42716515979,-0.81396110335778,0.141685317344952,-5.74485146810293,9.20017089475042e-09,3.24992424224508e-07
GCK,386.87149374226,0.250540128090357,0.147416725965952,1.69953664652832,0.0892181157824059,0.220662124789376
ATP5G3,25158.0337308132,0.0442968745004008,0.0609399328945241,0.72689404789911,0.467290863673484,0.653229349881902
NKPD1,527.281743008383,-0.265460672677545,0.105551037006916,-2.51499824355256,0.0119032976812773,0.0496209758761682
FKBP11,10878.3384825648,0.00390077240057485,0.106415299814738,0.0366561237657163,0.970759193274383,0.98349787437006
RMDN1,6729.17989751169,0.12394895411716,0.0913667192169568,1.35660944356374,0.174905339548359,0.350192767367177
RAPGEF4,850.0665190767,0.166908845324095,0.117752089909345,1.41745972791307,0.1563485606919,0.324979586872536
RFC3,2009.91679580998,0.336056839188837,0.120190432533818,2.79603652390784,0.00517335535883532,0.0261457892180239
CDCA4,1965.98837909985,0.038862772183123,0.106304750786234,0.365578884252043,0.714679333920518,0.837802002335255
DEF8,6189.92715944221,0.0190700721204273,0.141720126775879,0.13456149492856,0.892958587242248,0.942600372556259
MADCAM1,169.516765506484,-0.869691521467553,0.154848509889374,-5.61640226366319,1.94974452126323e-08,6.32073651708374e-07
TMPRSS12,18.0304899533488,-0.22139009477864,0.160996706088023,-1.37512189011866,0.16909365894242,0.343120275754739
WWC1,4793.76812214622,-0.353098663684493,0.0960706945120134,-3.67540450787871,0.00023747285389106,0.00214632196276354
TMOD2,3451.14942597374,0.12636358658492,0.176898084291572,0.71432987582071,0.475023222462499,0.660015126300079
SC5D,2033.11577041585,-0.311349864423412,0.112113074720384,-2.77710574970793,0.00548453315819662,0.0274613322585177
FAM199X,3234.94244160896,-0.250669099797425,0.0914805968962714,-2.74013406451267,0.00614141279250877,0.0299626214222612
LDOC1L,3473.72113480385,0.433679326029538,0.0995298014711399,4.35728113207671,1.31688075526649e-05,0.000189445510784286
ACAP3,5525.35644348645,-0.331848837512029,0.108746561282407,-3.05158005548553,0.0022764033591306,0.013688853354772
PSD2,36.1880125660185,-0.0151698970483584,0.138974980868663,-0.109155597313553,0.913079078007756,0.953966428567837
NEK8,155.244261056735,-0.15521639548458,0.102715696757217,-1.51112634567875,0.130756263496534,0.287026211409713
TRABD2A,626.385968429218,0.372106809212656,0.161597904925828,2.30267099925243,0.0212973610899684,0.0772336980779452
IPO7,8283.9241812144,-0.00548836156138802,0.121429348110732,-0.0451979825864104,0.963949502271612,0.980424797307999
PCLO,425.805053282802,0.269012619214271,0.226026924981706,1.19017952943457,0.233975837155453,0.423737746151615
MMP20,82.0601966388454,-0.690184337603047,0.269186924394779,-2.56395937193015,0.0103485657301598,0.0446145514258069
RSPH3,3808.8530104082,-0.103513441870472,0.0799569853778043,-1.29461411509402,0.195453380658949,0.377912010117762
CALB2,2080.89814895,-1.05934644481219,0.245475197923238,-4.31549278205882,1.59247255644801e-05,0.000221534275017623
PINLYP,2568.04256736981,-0.217738635329651,0.18280842098736,-1.19107552132244,0.233623938554564,0.423498310969276
PABPC1L2B,114.985899023079,-0.244889649670405,0.18026818607536,-1.35847403250638,0.174313316903321,0.349455340706198
CCDC71,961.41338071069,-0.543818116120508,0.117229015549383,-4.63893783950972,3.50204356067638e-06,6.15319997496967e-05
HIC1,1017.46016968473,-0.0351664417723098,0.145467646044478,-0.241747513818691,0.808975810560714,0.896544682520745
PPP1R3D,4256.9903968474,-0.311730119715869,0.126100967050635,-2.47206763759944,0.0134334097700979,0.0543702553802344
SMIM10,458.641876990756,0.291050201598259,0.165273521554578,1.76102135938421,0.0782347878958293,0.201392641714292
TMEM161A,12798.8675547806,0.0633100825829809,0.0881878611490383,0.717900193496997,0.472818828566636,0.658297283602785
HAUS8,2388.36987679847,0.154722508613242,0.122405226653888,1.26401880738911,0.206223276572967,0.390721159506142
CEBPD,42456.285184637,-0.0477191586893478,0.0518444172827012,-0.920430032594273,0.357348080431486,0.555280400430961
ARL8B,8483.97977982268,-0.232071314369617,0.0611701699851484,-3.79386414041292,0.000148320849666972,0.00146625754242207
PKNOX2,365.986033506242,-0.107210593811194,0.203982296616701,-0.525587737707704,0.599174678407953,0.759393548458432
BRCA2,859.095747712988,0.186182802461799,0.114009771362859,1.63304250360466,0.102460057716852,0.243973181371307
PLCG1,536.842838173004,0.189064429955713,0.120994041507505,1.56259289796503,0.118148379826701,0.268354525733295
KLHL31,209.316821411824,0.0443670887849035,0.194032966188028,0.228657478450901,0.819135146477668,0.902908811188503
FOXQ1,8557.58401403408,0.406933897391624,0.152142142261461,2.67469546138173,0.00747971604021826,0.0346485713170976
KCNMB2,670.071367882163,0.24845019780457,0.15915878828658,1.56102091803572,0.118518815419822,0.268879101424862
SLC25A28,10755.1300958296,-0.140341623039233,0.0708462949803899,-1.98093101520805,0.0475990103437053,0.140301670069454
TIMP3,15982.5631137257,0.41291165409519,0.122906115141739,3.35956964890648,0.000780639711785439,0.00570710829401413
LOC100996634,2186.37649093855,0.381218180471023,0.20166830040166,1.89032277116312,0.0587148051265668,0.16383324656284
